No. ,明星,性别,生日,职业,国籍,出生地,简介,百度百科链接
1,吴亦凡,男,1990年11月06日,演员、歌手,加拿大,中国广东省广州市,1990年11月06日出生于广东省广州市，华语影视男演员、流行乐歌手。2012年作为EXO组合成员正式出道，担任EXO/EXO队长、主Rapper、门面。2014年吴亦凡回归中国国内发展。,https://baike.baidu.com/item/%E5%90%B4%E4%BA%A6%E5%87%A1
2,宋钟基,男,1985年9月19日,韩国演员、主持人,韩国,韩国大田广域市,宋仲基，1985年9月19日出生于韩国大田广域市，韩国演员、主持人 。2008年，参演古装电影《霜花店》，正式出道。2009年，担任音乐节目《音乐银行》主持人；同年，成为艺能节目《RunningMan》的固定嘉宾。,https://baike.baidu.com/item/%E5%AE%8B%E4%BB%B2%E5%9F%BA/6444325?fr=aladdin&fromid=5709984&fromtitle=%E5%AE%8B%E9%92%9F%E5%9F%BA
3,李敏浩,男,1987年6月22日,演员,韩国,韩国首尔,"李敏镐（이민호、Lee MinHo），1987年6月22日出生于首尔，韩国男演员。
2006年，以电视剧《秘密的校园》正式出道。2009年因电视剧《花样男子》被亚洲观众广泛熟知。2011年主演电视剧《城市猎人》，凭该剧荣获韩国电视剧大奖最佳男演员奖及SBS演技大赏最佳演技奖其余，他还担任韩国旅游海外宣传大使、2018平昌冬奥会宣传大使、“2016-2018”韩国访问年宣传大使。2017年5月12日，入伍服役。",https://baike.baidu.com/item/%E6%9D%8E%E6%95%8F%E9%95%90/885197?fr=aladdin&fromid=6705906&fromtitle=%E6%9D%8E%E6%95%8F%E6%B5%A9
4,吴彦祖,男,1974年9月30日,演员、导演,美国,美国旧金山,"吴彦祖（DanielWu），1974年9月30日出生于美国旧金山，祖籍上海，华语影视男演员、导演，毕业于美国俄勒冈大学。
1998年出演了个人首部电影作品《美少年之恋》，从而踏入演艺圈。",https://baike.baidu.com/item/%E5%90%B4%E5%BD%A6%E7%A5%96/182990?fr=aladdin
5,胡歌,男,1982年9月20日,演员、歌手、制片人,中国,中国上海市,"胡歌，1982年9月20日出生于上海市徐汇区，中国内地演员、歌手、制片人。
1996年，14岁的胡歌便成为上海教育电视台的小主持人，2005年毕业于上海戏剧学院表演系，同年在仙侠剧《仙剑奇侠传》中塑造了“李逍遥”一角，并演唱该剧插曲《六月的雨》《逍遥叹》。2006年8月遭受严重车祸，2007年6月复出。",https://baike.baidu.com/item/%E8%83%A1%E6%AD%8C/312718?fr=aladdin
6,鹿晗,男,1990年4月20日,演员、歌手,中国,中国北京市,鹿晗（LUHAN），1990年4月20日出生于北京海淀区，中国内地影视男演员、歌手。毕业于首尔艺术大学，2008年赴韩国留学期间在明洞逛街时，被韩国SM娱乐有限公司星探发掘成为旗下练习生。2012年4月以韩国男子组合EXO/EXOM成员正式出道，组合内担任主唱、领舞、门面担当。,https://baike.baidu.com/item/%E9%B9%BF%E6%99%97
7,霍建华,男,1979年12月26日,演员、歌手、出品人,中国,台湾省台北市,霍建华（WallaceHuo），1979年12月26日出生于台湾省台北市，祖籍山东烟台龙口，华语影视男演员、歌手、出品人。2002年，因主演偶像剧《摘星》正式踏入演艺圈。2003年，凭借偶像爱情励志剧《海豚湾恋人》在台湾崭露头角。2004年，霍建华将事业重心转向内地，凭借古装武侠剧《天下第一》走入内地观众的视线。,https://baike.baidu.com/item/%E9%9C%8D%E5%BB%BA%E5%8D%8E/249243
8,李易峰,男,1987年5月4日,演员、流行乐歌手、影视制片人,中国,中国四川成都,李易峰，1987年5月4日出生于四川成都，中国内地男演员、流行乐歌手、影视制片人，2010年毕业于四川师范大学电影电视学院。2007年，参加东方卫视选秀娱乐节目《加油！好男儿》的比赛，获得全国总决赛第八名，从而正式出道；同年，发行首张EP《四叶草》。2009年，发行首张个人专辑《小先生》。2013年凭借都市爱情剧《千金归来》获得乐视盛典最受欢迎男演员奖 .,https://baike.baidu.com/item/%E6%9D%8E%E6%98%93%E5%B3%B0
9,钟汉良,男,1974年11月30日,演员、歌手、舞者,中国,中国香港,钟汉良（WallaceChung），1974年11月30日出生于中国香港，影视演员、歌手、舞者。1993年于香港无线电视台出道。1995年发行首张专辑《OREA》 ，连续两年被评为“台湾十大最受欢迎偶像”  2016年举办钟汉良2016乐作人生Sing ForLife巡回演唱会。同年凭借专辑《乐作人生》和歌曲《何以爱情》荣获第16届音乐风云榜年度盛典年度最受欢迎专辑、年度最受欢迎歌曲、年度最受欢迎电视剧歌曲三个奖项 。,https://baike.baidu.com/item/%E9%92%9F%E6%B1%89%E8%89%AF
10,杨洋,男,1991年9月9日,演员,中国,中国上海,"杨洋，1991年9月9日出生于上海，籍贯安徽合肥，毕业于中国人民解放军艺术学院2003级舞蹈系，中国内地影视男演员。
2007年，因在李少红版《红楼梦》中饰演少年贾宝玉而踏入影视圈 。2011年，杨洋参演个人首部电影《建党伟业》[3]  。2015年，因主演青春电影《左耳》和冒险剧《盗墓笔记》而获得更多关注  ；同年，其主演的青春励志剧《旋风少女》取得全国同时段电视剧收视冠军 。",https://baike.baidu.com/item/%E6%9D%A8%E6%B4%8B/11573
